Expert,Shortfall,BestEstimateR,MinKnowledge,MaxKnowledge,ConfExpert,CredExpert,Domain,Group,FuncGroup,Subgroup
Annon2,LINNEAN,55,50,60,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon2,RAUNKIAERAN,6.5,6,7,80,80,Microorganisms,Procaryota,Bacteria,
Annon2,RAUNKIAERAN,6.5,6,7,80,80,Microorganisms,Procaryota,Archaea,
Annon2,RAUNKIAERAN,6.5,6,7,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon2,RAUNKIAERAN,6.5,6,7,80,80,Microorganisms,Virus,Virus,
Annon2,WALLACEAN,6.5,6,7,80,80,Microorganisms,Procaryota,Bacteria,
Annon2,WALLACEAN,6.5,6,7,80,80,Microorganisms,Procaryota,Archaea,
Annon2,WALLACEAN,6.5,6,7,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon2,WALLACEAN,6.5,6,7,80,80,Microorganisms,Virus,Virus,
Annon3,DARWINIAN,1,0.1,5,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,DARWINIAN,3,1,10,80,80,Microorganisms,Virus,Virus,
Annon3,DARWINIAN,5,3,10,80,80,Microorganisms,Procaryota,Bacteria,
Annon3,DARWINIAN,5,3,10,80,80,Microorganisms,Procaryota,Archaea,
Annon3,DARWINIAN,10,3,20,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,DARWINIAN,30,15,60,90,80,Microorganisms,SAR/Chromista,Algal mix,
Annon3,DARWINIAN,30,10,50,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,DARWINIAN,40,55,60,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,DARWINIAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon3,ELTONIAN,1,0.1,2,80,80,Microorganisms,Virus,Virus,
Annon3,ELTONIAN,5,1,10,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,ELTONIAN,8,3,15,80,80,Microorganisms,Procaryota,Archaea,
Annon3,ELTONIAN,10,20,30,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,ELTONIAN,10,5,25,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,ELTONIAN,10,3,20,80,80,Microorganisms,Procaryota,Bacteria,
Annon3,ELTONIAN,30,10,50,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,ELTONIAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon3,HUTCHINSONIAN,1,0.1,5,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,HUTCHINSONIAN,1,0.1,2,80,80,Microorganisms,Virus,Virus,
Annon3,HUTCHINSONIAN,8,3,15,80,80,Microorganisms,Procaryota,Archaea,
Annon3,HUTCHINSONIAN,20,15,30,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,HUTCHINSONIAN,30,15,40,80,80,Microorganisms,Procaryota,Bacteria,
Annon3,HUTCHINSONIAN,40,50,60,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,HUTCHINSONIAN,40,25,60,90,80,Microorganisms,SAR/Chromista,Algal mix,
Annon3,HUTCHINSONIAN,40,15,60,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,HUTCHINSONIAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon3,LINNEAN,3,1,10,80,80,Microorganisms,Virus,Virus,
Annon3,LINNEAN,5,1,10,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,LINNEAN,10,5,25,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,LINNEAN,10,3,20,80,80,Microorganisms,Procaryota,Bacteria,
Annon3,LINNEAN,10,3,20,80,80,Microorganisms,Procaryota,Archaea,
Annon3,LINNEAN,40,25,60,90,80,Microorganisms,SAR/Chromista,Algal mix,
Annon3,LINNEAN,40,15,60,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,LINNEAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon3,LINNEAN,85,80,90,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,PRESTONIAN,3,1,8,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,PRESTONIAN,3,1,10,80,80,Microorganisms,Virus,Virus,
Annon3,PRESTONIAN,5,3,10,80,80,Microorganisms,Procaryota,Bacteria,
Annon3,PRESTONIAN,5,3,10,80,80,Microorganisms,Procaryota,Archaea,
Annon3,PRESTONIAN,15,5,20,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,PRESTONIAN,20,25,30,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,PRESTONIAN,40,25,60,90,80,Microorganisms,SAR/Chromista,Algal mix,
Annon3,PRESTONIAN,40,15,60,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,PRESTONIAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon3,RAUNKIAERAN,1,0.1,2,80,80,Microorganisms,Virus,Virus,
Annon3,RAUNKIAERAN,5,1,10,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,RAUNKIAERAN,15,30,45,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,RAUNKIAERAN,30,10,50,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,RAUNKIAERAN,30,10,40,80,80,Microorganisms,Procaryota,Archaea,
Annon3,RAUNKIAERAN,40,30,70,90,80,Microorganisms,SAR/Chromista,Algal mix,
Annon3,RAUNKIAERAN,40,20,60,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,RAUNKIAERAN,40,20,60,80,80,Microorganisms,Procaryota,Bacteria,
