SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Andreaea gainii,Plantae,Bryophyta,Bryopsida,Andreaeales,Andreaeaceae,Andreaea,1911,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,1,0,1,1
Aptenodytes forsteri,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,1844,2017,2017,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Arctocephalus gazella,Animalia,Chordata,Mammalia,Carnivora,Ottariidae,Arctocephalus,1875,2008,2008,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Bryum argenteum,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,1801,1983,1983,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Bryum pseudotriquetrum,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,1802,1979,1979,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Cetraria aculeata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cetraria,1826,2007,2007,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,1,1,1,1
Cetraria aculeata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cetraria,1826,2007,2007,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,1,1,1,1
Daption capense,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Daption,1758,2022,2022,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Deschampsia antarctica,Plantae,Magnonoliophyta,Monocots,Poales,Poaceae,Deschampsia,1812,2019,2019,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Global,Cosmopolitan,Free-living,1,1,1,1,1
Fregetta tropica,Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,Fregetta,1844,2010,2010,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Fulmarus glacialoides,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,1840,1983,1983,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Larus dominicanus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,1823,1980,1980,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Leptonychotes weddellii,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Leptonychotes,1826,1970,1970,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Lobodon carcinophaga,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,1842,1969,1969,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Macronectes giganteus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,1785,2007,2007,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Mirounga leonina,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,1758,2008,2008,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Oceanites oceanicus,Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,Oceanites,1820,1983,1983,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Pachyptila desolata,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,1789,2021,2021,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Pagodroma nivea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pagodroma,1777,1973,1973,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Pygoscelis adeliae,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,1841,2011,2011,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Pygoscelis papua,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,1781,2017,2017,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Sterna vittata,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,1789,1983,1983,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Thalassoica antarctica,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Thalassoica,1789,2001,2001,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,1,1,1,1
Umbilicaria decussata,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Umbilicaria,1932,1982,1982,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,1,1,1,1
Umbilicaria hyperborea,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Umbilicaria,1796,1981,1981,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,1,1,1,1
Cephaloziella varians,Plantae,Bryophyta,Jungermaniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella,1901,1978,1978,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Ceratodon purpureus,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ceratodon,1885,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Chorisodontium aciphyllum,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Chorisodontium,1924,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Polytrichastrum alpinum,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Polytrichastrum,1971,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Polytrichum piliferum,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Polytrichum,1801,1969,1969,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Polytrichum strictum,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Polytrichum,1801,1969,1969,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Sanionia uncinata,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Sanionia,1907,1963,1963,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Cryptopygus antarcticus,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Cryptopygus,1901,2020,2020,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Eretmoptera murphyi,Animalia,Arthropoda,Insecta,Diptera,Chironomoidae,Eretmoptera,1914,,1914,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Alien Non-Native Introduced,Cosmopolitan,Free-living,0,1,1,0,1
Ixodes uriae,Animalia,Arthropoda,Arachnida,Acarina,Ixodidae,Ixodes,1852,1966,1966,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Parasite,0,1,1,1,1
Physcia dubia,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,1912,1986,1986,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,1,1,1,1
Placopsis contortuplicata,Fungi,Ascomycota,Lecanoromycetes,Agyriales,Agyriaceae,Placopsis,1947,1987,1987,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,1,1,1,1
Plectus parietinus,Animalia,Nematoda,Chromadorea,Araeolaimida,Plectidae,Plectus,1865,1905,1905,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,0,1,1,1,1
Usnea aurantiaco-atra,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliceae,Usnea,1826,,1826,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,0,1,0,1,1
Aloina brevirostris,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Aloina,1883,1989,1989,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,0,1,1
Amphidium lapponicum,Plantae,Bryophyta,Bryopsida,Dicranales,Rhabdoweisiaceae,Amphidium,1856,1965,1965,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Andreaea regularis,Plantae,Bryophyta,Bryopsida,Andreaeales,Andreaeaceae,Andreaea,1890,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Anthelia juratzkana,Plantae,Marchantiophyta,Jungermaniopsida,Jungermanniales,Antheliaceae,Anthelia,1877,1979,1979,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Aspergillus clavatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,1834,,1834,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,1,0,1,0,1
Aspergillus flavus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,1809,2006,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,1,1
Aspergillus fumigatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,1863,2019,2019,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,0,1
Aspergillus niger,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,1867,2015,2015,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,0,1
Aspergillus ruber,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,1901,2012,2012,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,0,1
Aureobasidium pullulans,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1918,2006,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,1,1
Barbilophozia hatcheri,Plantae,Marchantiophyta,Jungermaniopsida,Jungermanniales,Jungermanniaceae,Barbilophozia,1908,1980,1980,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Beauveria bassiana,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,1912,2007,2007,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,0,1
Botrytis cinerea,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,1794,,1794,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,1,0,1,0,1
Brachythecium austroglareosum,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,1894,2005,2005,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Bryoerythrophyllum recurvirostrum,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Bryoerythrophyllum,1941,1979,1979,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Bryoria chalybeiformis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Bryoria,1977,1971,1971,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,0,1,1
Bryum dichotomum,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,1801,1980,1980,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Bryum pallescens,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,1816,2003,2003,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Bucklandiella subsecunda,Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Bucklandiella,2002,2002,2002,Ochyra R. Lewis Smith R. I. & Bednarek-Ochyra H. (2008). The illustrated moss flora of Antarctica. Cambridge University Press.,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Buellia frigida,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1910,1958,1910,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,1,0,1,1,1
Caloplaca exsecuta,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,2020,,2020,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Chionis albus,Animalia,Chordata,Aves,Charadriiformes,Chionidae,Chionis,1789,1998,1998,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Free-living,1,0,1,1,1
Cladonia asahinae,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1977,1974,1974,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia bellidiflora,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1823,1997,1997,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia bellidiflora,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1823,1997,1997,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia borealis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1989,1971,1971,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia carneola,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1831,1966,1966,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia chlorophaea,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1827,2006,2006,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia coccifera,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1787,1934,1934,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,1,0,1
Cladonia deformis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1796,2006,2006,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia gracilis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1787,1977,1977,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia macilenta,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1796,1966,1966,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia macilenta,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1796,1966,1966,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia metacorallifera,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1939,1989,1989,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,1,0,1
Cladonia phyllophora,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1796,2006,2006,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia pleurota,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1850,1964,1964,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia pleurota,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1850,1964,1964,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia pocillum,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1803,1984,1984,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia pocillum,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1803,1984,1984,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia pyxidata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1796,1980,1980,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia scabriuscula,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1875,1993,1993,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia squamosa,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1796,1977,1977,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia sulphurina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1831,1974,1974,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,1,1,1
Cladonia symphycarpa,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1826,1970,1970,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,1,0,1,1,1
Cladosporium herbarum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1816,2009,2009,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,1,0,1,1,1
