SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Bouvetiella pallida,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Hymeneliaceae,Bouvetiella,1986,1998,1998,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,0,1,0
Brachiomonas submarina,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Brachiomonas,1897,,1897,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,0,0
Brachionus angularis,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,1851,,1851,Garlasché G Karimullah K Iakovenko N Velasco-Castrillón A Janko K Guidetti R Rebecchi L Cecchetto M Schiaparelli S Jersabek C De Smet W Fontaneto D (2019) A data set on the distribution of Rotifera in Antarctica. Biogeographia – The Journal of Integrative Biogeography 35.,Unclassified,Cosmopolitan,Free-living,0,0,1,1,0
Brachionus quadridentatus,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,1783,,1783,Garlasché G Karimullah K Iakovenko N Velasco-Castrillón A Janko K Guidetti R Rebecchi L Cecchetto M Schiaparelli S Jersabek C De Smet W Fontaneto D (2019) A data set on the distribution of Rotifera in Antarctica. Biogeographia – The Journal of Integrative Biogeography 35.,Unclassified,Cosmopolitan,Free-living,0,0,1,1,0
Brachysira aponina,SAR/Protist,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,1836,,1836,Kellogg T.B. & Kellogg D.E. (2002) Non-marine and littoral diatoms from Antarctic and sub-Antarctic locations. Distribution and updated taxonomy. Diatom Monographs 1: 1–795,Global,Cosmopolitan,Free-living,0,0,0,0,0
Brachysira minor,SAR/Protist,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,1939,,1939,Jones V. J. Juggins S. & Ellis-Evans J. C. (1993). The relationship between water chemistry and surface sediment diatom assemblages in Maritime Antarctic lakes. Antarctic Science 5 339-348.,Global,UncertainGlobally,Free-living,0,0,0,0,0
Bracteacoccus minor,Plantae,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Bracteacoccus,1931,2017,2017,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,1,0
Bryobilimbia hypnorum,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Porpidiaceae,Bryobilimbia,2014,,2014,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,0
Bryodelphax olszanowskii,Animalia,Tardigrada,Heterotardigrada,Echiniscoidea,Echiniscidae,Bryodelphax,2018,,2018,Phillips L. M. Leihy R. I. & Chown S. L. (2022). Improving species-based area protection in Antarctica. Conservation Biology 36 e13898,Unclassified,UncertainGlobally,Unclassified,0,0,0,0,0
Bryonora peltata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Bryonora,2001,1974,2001,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Endemic,Symbiont,0,0,0,1,0
